zip,msa,beds,max_rent,prior_acq
37214,Nashville,4,2450,
32092,Jacksonville,3,2520,
32092,Jacksonville,4,3170,
85339,Phoenix,3,2950,
85339,Phoenix,4,3270,
38017,Memphis,3,1970,
38017,Memphis,4,2300,
32259,Jacksonville,3,2550,
32259,Jacksonville,4,3200,
32258,Jacksonville,3,2290,
32258,Jacksonville,4,2870,
85041,Phoenix,3,2040,
85041,Phoenix,4,2260,
37115,Nashville,3,1800,
37115,Nashville,4,2210,
85042,Phoenix,3,2160,
85042,Phoenix,4,2400,
30008,Atlanta,3,1680,
30008,Atlanta,4,2030,
85043,Phoenix,3,2230,
85043,Phoenix,4,2480,
37013,Nashville,3,1880,
37013,Nashville,4,2310,
75067,Dallas,3,2030,
75067,Dallas,4,2590,
30519,Atlanta,3,2220,
30519,Atlanta,4,2650,
32081,Jacksonville,3,2430,
32081,Jacksonville,4,3080,
32086,Jacksonville,3,1840,
32086,Jacksonville,4,2310,
28031,Charlotte,3,1480,
28031,Charlotte,4,2010,
30620,Atlanta,3,1870,
30620,Atlanta,4,2230,
28078,Charlotte,3,1680,
28078,Charlotte,4,2220,
30517,Atlanta,3,1910,
30517,Atlanta,4,2350,
32084,Jacksonville,3,1600,
32084,Jacksonville,4,2010,
32257,Jacksonville,3,1660,
32257,Jacksonville,4,2080,
37072,Nashville,3,1890,
37072,Nashville,4,2300,
28105,Charlotte,3,1480,
28105,Charlotte,4,2010,
30265,Atlanta,3,1970,
30265,Atlanta,4,2350,
85037,Phoenix,3,2300,
85037,Phoenix,4,2560,
28107,Charlotte,4,1600,
28213,Charlotte,3,1500,
28213,Charlotte,4,1990,
30019,Atlanta,3,2350,
30019,Atlanta,4,2810,
28273,Charlotte,3,1480,
28273,Charlotte,4,2010,
75065,Dallas,3,1990,
75065,Dallas,4,2530,
76016,Dallas,3,2250,
76016,Dallas,4,2790,
75098,Dallas,3,2450,
75098,Dallas,4,3110,
32003,Jacksonville,3,2370,
32003,Jacksonville,4,2960,
28278,Charlotte,3,1480,
28278,Charlotte,4,2010,
30548,Atlanta,3,1440,
30548,Atlanta,4,1780,
30106,Atlanta,3,1670,
30106,Atlanta,4,2010,
30141,Atlanta,3,1920,
30141,Atlanta,4,2300,
76207,Dallas,3,2040,
76207,Dallas,4,2590,
85307,Phoenix,3,2480,
85307,Phoenix,4,2760,
28262,Charlotte,3,1480,
28262,Charlotte,4,2010,
76210,Dallas,3,2230,
76210,Dallas,4,2840,
28269,Charlotte,3,1620,
28269,Charlotte,4,2150,
28214,Charlotte,3,1480,
28214,Charlotte,4,2010,
28227,Charlotte,3,1480,
28227,Charlotte,4,2010,
76226,Dallas,3,2830,
76226,Dallas,4,3590,
76247,Dallas,3,2560,
76247,Dallas,4,3250,
30115,Atlanta,3,1940,
30115,Atlanta,4,2320,
76126,Dallas,3,1930,
76126,Dallas,4,2390,
32246,Jacksonville,3,1990,
32246,Jacksonville,4,2500,
